PROBEID,SYMBOL,GENENAME,LOGFC,AVEEXPR,T,P.VALUE,ADJ.P.VAL,B,CONDITION,TIME
208415_x_at,ING1,inhibitor of growth family member 1,0.582783207,5.238799421,5.954455583,1.24E-07,7.35E-05,7.409711698,0,49.8
1552307_a_at,TTC39C,tetratricopeptide repeat domain 39C,-0.4655846,6.776192006,-5.950554406,1.26E-07,7.35E-05,7.395402291,1,21.75
225724_at,PSMA3-AS1,PSMA3 antisense RNA 1,0.431951631,8.060750745,5.931270196,1.35E-07,7.80E-05,7.32470225,0,15.37
219540_at,ZNF267,zinc finger protein 267,0.965003111,5.477458303,5.929032164,1.37E-07,7.80E-05,7.316500824,0,10.68
1557436_at,XKR6,XK related 6,-0.598084975,5.866349391,-5.924571235,1.39E-07,7.80E-05,7.300155729,1,24.67
223896_at,FKSG29,FKSG29,-0.515184217,5.156908668,-5.924024875,1.39E-07,7.80E-05,7.298154045,1,24.38
238413_at,RRN3P3,RRN3 pseudogene 3,-0.581584461,7.07768589,-5.901556616,1.52E-07,7.93E-05,7.215877849,1,23.85
222845_x_at,TMBIM4,transmembrane BAX inhibitor motif containing 4,0.368573869,9.74153891,5.886983212,1.61E-07,8.22E-05,7.162554004,0,6.11
227232_at,EVL,Enah/Vasp-like,-0.480132843,6.258955905,-5.885121423,1.62E-07,8.22E-05,7.155744171,1,20.11
213174_at,TTC9,tetratricopeptide repeat domain 9,-0.489776291,7.020841524,-5.880417462,1.65E-07,8.25E-05,7.13854103,1,19.65
234177_at,LOC101927950,uncharacterized LOC101927950,-0.527892834,4.806091015,-5.877569645,1.67E-07,8.25E-05,7.128127822,1,20.27
213044_at,ROCK1,Rho associated coiled-coil containing protein kinase 1,0.615875268,7.798188588,5.870657705,1.72E-07,8.30E-05,7.102859317,0,13.01
233329_s_at,KRCC1,lysine rich coiled-coil 1,0.845843934,4.633764343,5.867558232,1.74E-07,8.32E-05,7.091530831,0,22.6
202225_at,CRK,"CRK proto-oncogene, adaptor protein",0.544440366,6.207703827,5.864122834,1.76E-07,8.36E-05,7.078976357,0,13.5
224718_at,YY1,YY1 transcription factor,-0.334869085,7.708131552,-5.860519302,1.79E-07,8.39E-05,7.065809499,1,9.63
224377_s_at,RAB18,"RAB18, member RAS oncogene family",0.617967953,6.862671981,5.858574655,1.80E-07,8.39E-05,7.058704877,0,9.99
209513_s_at,HSDL2,hydroxysteroid dehydrogenase like 2,0.584691762,7.097758276,5.841430853,1.93E-07,8.90E-05,6.996097931,0,74.57
201023_at,TAF7,TATA-box binding protein associated factor 7,0.739321403,6.355732976,5.833795506,1.98E-07,9.01E-05,6.96823016,0,11.63
211584_s_at,NPAT,"nuclear protein, coactivator of histone transcription",-0.469632829,6.332864679,-5.831591385,2.00E-07,9.01E-05,6.96018727,1,1.02
213489_at,MAPRE2,microtubule associated protein RP/EB family member 2,-0.474046532,5.404259819,-5.827913013,2.03E-07,9.06E-05,6.946766595,1,37.02
210714_at,R3HDM1,R3H domain containing 1,-0.37037316,5.085291059,-5.819073818,2.10E-07,9.30E-05,6.914525682,1,1.02
218970_s_at,CUTC,cutC copper transporter,0.517493868,5.987828209,5.811364938,2.16E-07,9.49E-05,6.886418256,0,0.69
1552772_at,CLEC4D,C-type lectin domain family 4 member D,0.957986959,5.712673695,5.809685982,2.18E-07,9.49E-05,6.880297925,0,15.77
214276_at,KLF12,KLF transcription factor 12,-0.560855546,8.881152614,-5.802442242,2.24E-07,9.68E-05,6.853897619,1,34.99
213836_s_at,WIPI1,"WD repeat domain, phosphoinositide interacting 1",0.420829468,6.634356488,5.799387214,2.27E-07,9.72E-05,6.842766026,0,9.59
205791_x_at,ZNF230,zinc finger protein 230,0.514863667,4.772438257,5.789686294,2.36E-07,0.000100149,6.807429343,0,11.01
226155_at,FHIP2A,FHF complex subunit HOOK interacting protein 2A,0.718788959,8.052168425,5.775809474,2.49E-07,0.00010487,6.756909503,0,1.02
218791_s_at,KATNBL1,katanin regulatory subunit B1 like 1,0.6205862,5.37671873,5.772174711,2.52E-07,0.000105526,6.743682302,0,11.07
225243_s_at,SLMAP,sarcolemma associated protein,0.557961861,8.265821122,5.76544577,2.59E-07,0.000107479,6.719201177,0,0
212009_s_at,STIP1,stress induced phosphoprotein 1,-0.343725349,7.518895878,-5.761404138,2.63E-07,0.000108336,6.70450077,1,57.98
39248_at,AQP3,aquaporin 3 (Gill blood group),-0.51082489,10.94591267,-5.757315425,2.67E-07,0.000108886,6.689632016,1,62.91
217925_s_at,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains,-0.279857946,9.523075416,-5.75614588,2.68E-07,0.000108886,6.685379462,1,63.93
219157_at,KLHL2,kelch like family member 2,0.880156319,7.222070677,5.754060204,2.71E-07,0.000108941,6.677796385,0,23.72
223705_s_at,GPBP1,GC-rich promoter binding protein 1,0.569264677,7.714126019,5.747200018,2.78E-07,0.000110864,6.652859588,0,33.08
224840_at,FKBP5,FKBP prolyl isomerase 5,0.601364195,8.71795124,5.745690904,2.80E-07,0.000110864,6.647375067,0,19.02
222235_s_at,CSGALNACT2,chondroitin sulfate N-acetylgalactosaminyltransferase 2,0.750884188,5.153199353,5.74126696,2.84E-07,0.00011184,6.631299601,0,12.68
41220_at,SEPTIN9,septin 9,-0.348029472,9.992101648,-5.739625413,2.86E-07,0.00011184,6.625335527,1,1.02
226602_s_at,BCR,BCR activator of RhoGEF and GTPase,-0.390595552,6.240236102,-5.733512541,2.93E-07,0.000112662,6.603130433,1,1.02
200952_s_at,CCND2,cyclin D2,-0.408630346,7.377661283,-5.732123199,2.95E-07,0.000112662,6.598084557,1,9.07
209276_s_at,GLRX,glutaredoxin,0.569191618,7.59581584,5.711393315,3.19E-07,0.000117234,6.522837926,0,4.04
227766_at,LIG4,DNA ligase 4,0.774746454,2.478992267,5.710908478,3.20E-07,0.000117234,6.521078962,0,20.27
219356_s_at,CHMP5,charged multivesicular body protein 5,0.733013606,6.023461604,5.707600524,3.24E-07,0.000117234,6.509079006,0,63.07
209882_at,RIT1,Ras like without CAAX 1,0.416165022,7.320325133,5.707463299,3.24E-07,0.000117234,6.508581253,0,5.06
226110_at,PTAR1,protein prenyltransferase alpha subunit repeat containing 1,0.722245591,7.457213728,5.694838715,3.41E-07,0.000121446,6.462802866,0,10.51
203138_at,HAT1,histone acetyltransferase 1,0.827995556,6.682291357,5.693152639,3.43E-07,0.000121446,6.456691139,0,63.37
205240_at,GPSM2,G protein signaling modulator 2,-0.380809805,6.412702519,-5.686460098,3.52E-07,0.000123674,6.432437024,1,24.01
219938_s_at,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2,0.791551902,6.422036374,5.683475423,3.56E-07,0.000123674,6.421623071,0,15.9
201699_at,PSMC6,"proteasome 26S subunit, ATPase 6",0.961261472,6.675761416,5.681171726,3.59E-07,0.000123915,6.413277533,0,10.28
201076_at,SNU13,small nuclear ribonucleoprotein 13,-0.349416928,8.081021912,-5.670830017,3.74E-07,0.000127327,6.375825049,1,19.32
215155_at,HEXA,hexosaminidase subunit alpha,-0.465203404,6.075897671,-5.664279302,3.83E-07,0.000129766,6.352111954,1,37.02
221724_s_at,CLEC4A,C-type lectin domain family 4 member A,0.600228808,6.406728403,5.662256353,3.86E-07,0.000129959,6.344790657,0,9.46
209066_x_at,UQCRB,ubiquinol-cytochrome c reductase binding protein,0.769181214,6.642116508,5.644530171,4.14E-07,0.000137447,6.280670402,0,37.19
202651_at,LPGAT1,lysophosphatidylglycerol acyltransferase 1,0.649939925,7.626019871,5.63504027,4.29E-07,0.000141562,6.246367427,0,16.98
202789_at,PLCG1,phospholipase C gamma 1,-0.438066251,7.210268612,-5.633690342,4.32E-07,0.000141562,6.24148926,1,36.01
215041_s_at,DOCK9,dedicator of cytokinesis 9,-0.454631884,6.581790944,-5.628643472,4.40E-07,0.000143465,6.223254746,1,8.05
223215_s_at,JKAMP,JNK1/MAPK8 associated membrane protein,0.481549747,7.745427367,5.625263284,4.46E-07,0.000144465,6.211044742,0,78.65
1556183_at,ANKRD36BP2,ankyrin repeat domain 36B pseudogene 2,-0.449244501,4.444910983,-5.619158481,4.56E-07,0.000147017,6.188998394,1,19.05
1552553_a_at,NLRC4,NLR family CARD domain containing 4,0.626335009,6.678086793,5.614361566,4.65E-07,0.00014836,6.171680291,0,9.56
221492_s_at,ATG3,autophagy related 3,0.534806424,8.774479562,5.613684419,4.66E-07,0.00014836,6.169235975,0,28.65
202917_s_at,S100A8,S100 calcium binding protein A8,0.866160956,10.94599052,5.607689793,4.77E-07,0.0001507,6.147600892,0,28.22
216273_at,ZNF460,zinc finger protein 460,-0.356560581,7.334539437,-5.594284366,5.02E-07,0.000157076,6.099245023,1,0
1555829_at,ESYT2,extended synaptotagmin 2,-0.656122787,4.729826209,-5.5891308,5.13E-07,0.000158367,6.080664542,1,34
212697_at,RETREG3,reticulophagy regulator family member 3,-0.254179995,7.983291527,-5.587556774,5.16E-07,0.000158411,6.074990649,1,28.98
219129_s_at,SAP30L,SAP30 like,0.414016079,6.57897573,5.58372274,5.23E-07,0.000159846,6.061172152,0,71.48
219691_at,SAMD9,sterile alpha motif domain containing 9,0.613991997,5.55233774,5.581197584,5.28E-07,0.000160122,6.052072663,0,19.88
224614_at,DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2,0.386237006,6.324998023,5.578038787,5.35E-07,0.000160619,6.040691603,0,25.92
231718_at,SLU7,"SLU7 homolog, splicing factor",0.574432767,6.305103069,5.574378946,5.43E-07,0.000161986,6.027507776,0,84.23
231862_at,CBX5,chromobox 5,-0.589121161,7.818672497,-5.571955219,5.48E-07,0.000162376,6.018778268,1,28.98
209571_at,CIR1,"corepressor interacting with RBPJ, CIR1",0.477156408,7.453516141,5.570855687,5.50E-07,0.000162376,6.014818486,0,32.95
228915_at,DACH1,dachshund family transcription factor 1,0.626058653,2.587702257,5.566325122,5.60E-07,0.000164323,5.998504946,0,9.07
1570425_s_at,LATS1,large tumor suppressor kinase 1,-0.306512074,6.769543919,-5.539344442,6.21E-07,0.000175523,5.901439271,1,25.99
221601_s_at,FCMR,Fc mu receptor,-0.533010095,9.291479304,-5.53452332,6.33E-07,0.000177557,5.884110377,1,12.98
223416_at,SF3B6,splicing factor 3b subunit 6,0.671120601,7.00769563,5.524682951,6.57E-07,0.000180631,5.848755242,0,8.41
220792_at,PRDM5,PR/SET domain 5,0.661981079,3.215038014,5.523605479,6.60E-07,0.000180631,5.844885237,0,59.17
230004_at,USP24,ubiquitin specific peptidase 24,-0.437235706,6.596567155,-5.52290123,6.61E-07,0.000180631,5.842355885,1,13.99
202381_at,ADAM9,ADAM metallopeptidase domain 9,0.753498895,3.476443674,5.519679981,6.70E-07,0.000181583,5.830787881,0,2.66
220085_at,HELLS,"helicase, lymphoid specific",-0.594389511,4.760267928,-5.508054528,7.00E-07,0.000185784,5.789056957,1,33.97
237753_at,IL21R,interleukin 21 receptor,-0.391065644,8.97746863,-5.506105342,7.06E-07,0.000185784,5.782062874,1,20.99
218614_at,RESF1,retroelement silencing factor 1,0.541805295,9.218307137,5.505878847,7.06E-07,0.000185784,5.781250217,0,37.25
200881_s_at,DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,0.483531308,8.368357494,5.504065211,7.11E-07,0.000186161,5.774743315,0,10.74
235213_at,ITPKB,inositol-trisphosphate 3-kinase B,-0.429873442,7.357308974,-5.500406995,7.21E-07,0.000187868,5.761620585,1,23.98
202300_at,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",0.453788896,8.455839383,5.495108253,7.36E-07,0.000189868,5.74261794,0,33.51
1556144_at,DHX30,DExH-box helicase 30,-0.631877033,3.935265273,-5.490455589,7.49E-07,0.00019143,5.725937164,1,23
216509_x_at,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor,-0.259316106,7.336042496,-5.480138961,7.79E-07,0.000197261,5.68896618,1,19.97
229735_s_at,NIPAL3,NIPA like domain containing 3,-0.396845574,7.424098783,-5.477841102,7.86E-07,0.000198044,5.680734575,1,13.93
212693_at,MDN1,midasin AAA ATPase 1,-0.43592072,6.872912569,-5.473799838,7.99E-07,0.000198044,5.666260303,1,19.97
201237_at,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,0.723919058,7.903718791,5.473231462,8.00E-07,0.000198044,5.664224874,0,27.79
212144_at,SUN2,Sad1 and UNC84 domain containing 2,-0.354374924,8.529832652,-5.472295538,8.03E-07,0.000198044,5.660873358,1,60.97
216231_s_at,B2M,beta-2-microglobulin,0.518206306,10.4401946,5.471758564,8.05E-07,0.000198044,5.658950556,0,20.01
233124_s_at,ECHDC1,ethylmalonyl-CoA decarboxylase 1,0.328319516,7.530461707,5.470285115,8.09E-07,0.000198248,5.653674728,0,15.14
206175_x_at,ZNF222,zinc finger protein 222,0.451200953,3.922723835,5.463881388,8.30E-07,0.000199808,5.630750953,0,39.98
226036_x_at,CASP2,caspase 2,-0.254149315,10.12463003,-5.46379676,8.30E-07,0.000199808,5.630448063,1,6.04
226441_at,MAP3K2,mitogen-activated protein kinase kinase kinase 2,0.70797874,8.30360657,5.46347352,8.31E-07,0.000199808,5.629291182,0,39.95
218718_at,PDGFC,platelet derived growth factor C,0.593346585,4.444309398,5.462142947,8.35E-07,0.000199925,5.624529273,0,34.95
211005_at,LAT,linker for activation of T cells,-0.417367969,11.23145675,-5.453030968,8.65E-07,0.000206097,5.591929199,1,6.96
242906_at,SESN3,sestrin 3,-0.437952995,9.128196418,-5.451718772,8.69E-07,0.000206211,5.58723601,1,53.98
210980_s_at,ASAH1,N-acylsphingosine amidohydrolase 1,0.485301584,7.500130261,5.449012169,8.78E-07,0.000207433,5.577556767,0,25.99
211297_s_at,CDK7,cyclin dependent kinase 7,0.386239089,6.307487154,5.447618127,8.83E-07,0.00020762,5.572572071,0,0
221011_s_at,LBH,LBH regulator of WNT signaling pathway,-0.380470784,9.233731079,-5.442117148,9.02E-07,0.000209838,5.552906257,1,13.99
225810_at,MTMR10,myotubularin related protein 10,0.498930628,6.980394446,5.438028114,9.16E-07,0.000209838,5.538292359,0,4.04
204113_at,CELF1,CUGBP Elav-like family member 1,-0.247989596,10.63082778,-5.437995637,9.16E-07,0.000209838,5.538176307,1,47.01
200977_s_at,TAX1BP1,Tax1 binding protein 1,0.646920234,8.032661303,5.430015691,9.44E-07,0.00021358,5.509667152,0,27
209389_x_at,DBI,"diazepam binding inhibitor, acyl-CoA binding protein",0.890806469,6.721854977,5.427086013,9.55E-07,0.000215071,5.499204083,0,18.99
224511_s_at,TXNDC17,thioredoxin domain containing 17,0.481677247,5.714096637,5.424705559,9.64E-07,0.000215291,5.490703906,0,26.02
221763_at,JMJD1C,jumonji domain containing 1C,0.742291701,6.417663028,5.42461139,9.64E-07,0.000215291,5.490367672,0,33.71
202106_at,GOLGA3,golgin A3,-0.327376809,8.351193937,-5.419776201,9.82E-07,0.00021839,5.473106009,1,46.98
227413_at,UBLCP1,ubiquitin like domain containing CTD phosphatase 1,0.562722946,6.213448049,5.415406468,9.99E-07,0.000221142,5.457510464,0,2.96
1558002_at,STRAP,serine/threonine kinase receptor associated protein,-0.395246007,5.66075628,-5.413919116,1.00E-06,0.00022148,5.452203078,1,15.01
213587_s_at,ATP6V0E2,ATPase H+ transporting V0 subunit e2,-0.518632345,7.432640511,-5.410263772,1.02E-06,0.000223666,5.43916163,1,5.98
224365_s_at,TIGD7,tigger transposable element derived 7,0.661801918,6.286235396,5.409139901,1.02E-06,0.000223704,5.435152509,0,0.99
212795_at,WASHC4,WASH complex subunit 4,0.703614389,6.59904669,5.40692889,1.03E-06,0.000224546,5.427266109,0,20.7
213682_at,NUP50,nucleoporin 50,0.447699668,9.099430991,5.404311888,1.04E-06,0.000225089,5.417932996,0,108.94
225506_at,RELCH,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",0.471163248,5.48619736,5.399331815,1.06E-06,0.000226646,5.400176588,0,2.96
205087_at,RWDD3,RWD domain containing 3,0.654334271,5.381738911,5.397016208,1.07E-06,0.000227028,5.391922198,0,9.69
1562368_at,CARD11,caspase recruitment domain family member 11,-0.464769292,6.540712484,-5.396794084,1.07E-06,0.000227028,5.391130461,1,37.02
1557100_s_at,HECTD1,HECT domain E3 ubiquitin protein ligase 1,-0.383010312,5.811115097,-5.393995852,1.08E-06,0.000228556,5.381157408,1,18.99
244008_at,PARP8,poly(ADP-ribose) polymerase family member 8,0.786787962,5.655876176,5.391642456,1.09E-06,0.000229706,5.372771137,0,34.79
208659_at,CLIC1,chloride intracellular channel 1,0.408311467,9.045482321,5.389599117,1.10E-06,0.000229754,5.365490756,0,12.09
203371_s_at,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,0.666342486,6.070553322,5.385721251,1.12E-06,0.000230401,5.351676565,0,2.14
220240_s_at,TMCO3,transmembrane and coiled-coil domains 3,0.452355588,5.700359669,5.378286867,1.15E-06,0.000232492,5.325202414,0,3.02
223300_s_at,CCDC82,coiled-coil domain containing 82,0.501369303,5.878844372,5.377329184,1.15E-06,0.000232492,5.321792975,0,34.23
227435_at,USF3,upstream transcription factor family member 3,-0.374883846,7.301009915,-5.377324268,1.15E-06,0.000232492,5.321775476,1,0
1552612_at,CDC42SE2,CDC42 small effector 2,-0.220343084,11.53239477,-5.376221512,1.16E-06,0.00023259,5.317849822,1,0
213095_x_at,AIF1,allograft inflammatory factor 1,0.532255502,9.22689468,5.369602202,1.19E-06,0.000236011,5.294291817,0,43.23
205992_s_at,IL15,interleukin 15,0.526719726,4.421640404,5.36943814,1.19E-06,0.000236011,5.293708052,0,1.02
208374_s_at,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1,0.632955592,8.036709415,5.3569175,1.25E-06,0.000243322,5.24917511,0,37.94
218178_s_at,CHMP1B,charged multivesicular body protein 1B,0.407199946,6.264866307,5.356577322,1.25E-06,0.000243322,5.247965677,0,19.02
227577_at,EXOC8,exocyst complex component 8,0.644494016,5.558390384,5.354599968,1.26E-06,0.000243905,5.240936134,0,19.32
201959_s_at,MYCBP2,MYC binding protein 2,-0.39371251,8.292370981,-5.353671984,1.26E-06,0.000243905,5.23763744,1,84.99
235735_at,TNFSF8,TNF superfamily member 8,0.426369832,6.142712112,5.34839434,1.29E-06,0.000245623,5.218880817,0,19.97
214285_at,FABP3,fatty acid binding protein 3,-0.614329644,5.25770668,-5.346238623,1.30E-06,0.000246002,5.211221297,1,0
238066_at,RBP7,retinol binding protein 7,0.603291589,7.754148599,5.342410327,1.32E-06,0.000248608,5.197621547,0,23.72
212082_s_at,MYL6,myosin light chain 6,0.380124354,11.40910169,5.340618006,1.33E-06,0.000249032,5.191255624,0,21.22
225199_at,HAPSTR1,HUWE1 associated protein modifying stress responses,0.367501724,7.247537607,5.335450417,1.35E-06,0.000252591,5.172905667,0,21.12
1555057_at,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,-0.361807094,2.385457467,-5.33268982,1.37E-06,0.000252597,5.163105411,1,19.02
1554965_at,FILIP1L,filamin A interacting protein 1 like,-0.493443842,4.682914117,-5.326950649,1.40E-06,0.000255055,5.142736756,1,0
