"PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","CONDITION"
"211368_s_at","CASP1","caspase 1",0.678624339773541,8.11391069432891,6.34331605579672,2.66364111106057e-08,3.85912920327985e-05,8.84636746697415,1
"224356_x_at","MS4A6A","membrane spanning 4-domains A6A",0.573610237583159,9.32689165040306,6.34115083797954,2.68665739404584e-08,3.85912920327985e-05,8.83831771292719,1
"222201_s_at","CASP8AP2","caspase 8 associated protein 2",0.642716595269336,3.55219198023291,6.26690146632279,3.60747570890099e-08,4.35742071593093e-05,8.56258394903418,1
"213817_at","IRAK3","interleukin 1 receptor associated kinase 3",0.940854438258643,5.21962393732856,6.2304186722874,4.16857081794555e-08,4.46831546675e-05,8.42732809855359,1
"223738_s_at","PGM2","phosphoglucomutase 2",0.502432123210509,6.87550374625328,6.22043781365743,4.33661515169558e-08,4.519178146415e-05,8.3903523257564,1
"1563975_at","RNF130","ring finger protein 130",0.696251815611183,5.85941841035773,6.19600546899228,4.77686673502091e-08,4.61552870834984e-05,8.29988891196068,1
"211676_s_at","IFNGR1","interferon gamma receptor 1",0.611429715308386,7.70052241199028,6.1890461769953,4.91018766049708e-08,4.61552870834984e-05,8.27413462357571,1
"78383_at","SMIM27","small integral membrane protein 27",0.527366924845814,6.05887739589179,6.18630151040688,4.96377682221197e-08,4.61552870834984e-05,8.26397905388927,1
"208066_s_at","GTF2B","general transcription factor IIB",0.594436480259329,7.02151589531283,6.18595610282902,4.9705618062601e-08,4.61552870834984e-05,8.26270107330004,1
"214467_at","GPR65","G protein-coupled receptor 65",0.748180713125473,6.5858659289519,6.18353514878003,5.01837644903885e-08,4.61552870834984e-05,8.25374414815501,1
"223280_x_at","MS4A6A","membrane spanning 4-domains A6A",0.576775848265459,9.08507383649478,6.18176045663662,5.05371668033079e-08,4.61552870834984e-05,8.24717868980799,1
"222139_at","ERV3-2","endogenous retrovirus group 3 member 2",1.46931456166363,4.50740196134872,6.13105659256705,6.17458430261057e-08,5.12750987391944e-05,8.05976708178641,1
"236465_at","RNF175","ring finger protein 175",0.6901605113909,8.02466084354316,6.12217093043912,6.3949650688741e-08,5.22881859254541e-05,8.02695773821384,1
"225919_s_at","C9orf72","C9orf72-SMCR8 complex subunit",0.66113353355609,7.26547049124695,6.1017729315153,6.93080318293228e-08,5.43263066863471e-05,7.95167943920004,1
"202727_s_at","IFNGR1","interferon gamma receptor 1",0.632113059599459,7.99068289202108,6.10103906852799,6.95088877014996e-08,5.43263066863471e-05,7.94897216058678,1
"228585_at","ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1",0.789979073023972,5.48894721823887,6.06864597346387,7.89736727209088e-08,5.91156870999738e-05,7.82954346383374,1
"202298_at","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1",0.53971920412238,7.93931677070116,6.05290399388259,8.40237401437826e-08,6.03460772624542e-05,7.77155660779043,1
"205842_s_at","JAK2","Janus kinase 2",0.765902258012128,6.34104691640557,6.04822028760523,8.5587123060812e-08,6.0649317724173e-05,7.7543104067199,1
"240964_at","PTEN","phosphatase and tensin homolog",0.696779855613968,6.30389745242534,6.04430581163497,8.69158243697233e-08,6.07804647076011e-05,7.73989898391674,1
"205681_at","BCL2A1","BCL2 related protein A1",1.32844831750157,6.14557487446882,6.01447747668656,9.77345364289343e-08,6.74584078907607e-05,7.63015463727744,1
"217962_at","NOP10","NOP10 ribonucleoprotein",0.578147485297171,8.34141959105176,5.9989651855888,1.0387756117478e-07,7.0008506614655e-05,7.57313201471358,1
"217971_at","LAMTOR3","late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",0.883607756156602,5.85559954494299,5.99458492634495,1.05680383871903e-07,7.02074420205003e-05,7.55703664150259,1
"226939_at","CPEB2","cytoplasmic polyadenylation element binding protein 2",0.963212246261953,6.18950401741436,5.95896526446264,1.21538518402297e-07,7.35093427559399e-05,7.42625593315757,1
"221058_s_at","CKLF","chemokine like factor",0.579721173989249,9.05087131185483,5.95561685757062,1.23145205035384e-07,7.35093427559399e-05,7.41397166127303,1
"208415_x_at","ING1","inhibitor of growth family member 1",0.582783207493661,5.23879942141041,5.95445558333962,1.23707322539513e-07,7.35093427559399e-05,7.40971169785713,1
"219540_at","ZNF267","zinc finger protein 267",0.965003110573828,5.47745830344379,5.92903216393306,1.36670292239014e-07,7.79736870789565e-05,7.31650082382645,1
"209970_x_at","CASP1","caspase 1",0.652112589446452,7.5921622133434,5.9063742432158,1.49350881251445e-07,7.89697868565378e-05,7.23351282238685,1
"213044_at","ROCK1","Rho associated coiled-coil containing protein kinase 1",0.615875268008511,7.79818858818594,5.8706577050365,1.71742216041809e-07,8.29780323270364e-05,7.10285931723334,1
"233329_s_at","KRCC1","lysine rich coiled-coil 1",0.84584393438578,4.63376434265997,5.86755823202901,1.73835177766365e-07,8.3232596331072e-05,7.09153083086678,1
"202225_at","CRK","CRK proto-oncogene, adaptor protein",0.544440365523157,6.20770382673041,5.86412283377669,1.76184467478084e-07,8.36042490451583e-05,7.07897635736648,1
"224377_s_at","RAB18","RAB18, member RAS oncogene family",0.617967952764719,6.86267198127628,5.85857465534438,1.80045064205295e-07,8.39373248010424e-05,7.05870487660203,1
"209513_s_at","HSDL2","hydroxysteroid dehydrogenase like 2",0.584691762039188,7.09775827649943,5.84143085294623,1.92510797033864e-07,8.89684463474675e-05,6.9960979312013,1
"211366_x_at","CASP1","caspase 1",0.593410583462736,8.30335197798923,5.8339524442102,1.98212437120903e-07,9.00927324368891e-05,6.96880286172323,1
"201023_at","TAF7","TATA-box binding protein associated factor 7",0.739321402688497,6.35573297579042,5.83379550607256,1.98333860709279e-07,9.00927324368891e-05,6.96823016003111,1
"218970_s_at","CUTC","cutC copper transporter",0.51749386769329,5.98782820921074,5.81136493762982,2.16466897932689e-07,9.49189365749981e-05,6.8864182561508,1
"1552772_at","CLEC4D","C-type lectin domain family 4 member D",0.957986959494648,5.71267369482388,5.80968598226295,2.17888314714843e-07,9.49189365749981e-05,6.88029792468752,1
"205791_x_at","ZNF230","zinc finger protein 230",0.514863666655626,4.77243825734028,5.78968629353773,2.35546636733903e-07,0.000100148776819974,6.80742934309483,1
"226155_at","FHIP2A","FHF complex subunit HOOK interacting protein 2A",0.718788959143038,8.05216842484876,5.7758094740889,2.48622940787151e-07,0.000104869551063609,6.75690950285665,1
"218791_s_at","KATNBL1","katanin regulatory subunit B1 like 1",0.620586199568368,5.37671873041804,5.77217471141749,2.52164992992621e-07,0.000105526085689597,6.74368230200013,1
"225243_s_at","SLMAP","sarcolemma associated protein",0.557961861451401,8.26582112231332,5.76544576966814,2.58854435491176e-07,0.000107479192836324,6.71920117704578,1
"219157_at","KLHL2","kelch like family member 2",0.880156318709297,7.22207067651367,5.75406020438295,2.70574862268852e-07,0.000108941228825778,6.67779638543131,1
"223705_s_at","GPBP1","GC-rich promoter binding protein 1",0.569264676924058,7.71412601890666,5.74720001839503,2.7788841539312e-07,0.000110864360007134,6.65285958775552,1
"224840_at","FKBP5","FKBP prolyl isomerase 5",0.601364195033261,8.71795123977022,5.74569090425967,2.79523289008899e-07,0.000110864360007134,6.64737506659672,1
"222235_s_at","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",0.750884187797911,5.15319935314585,5.74126696013693,2.84370862964046e-07,0.00011183951967782,6.63129960111561,1
"223451_s_at","CKLF","chemokine like factor",0.540988068047831,8.78152157445568,5.72023959476517,3.0857155641598e-07,0.000117140375063143,6.5549392487083,1
"209276_s_at","GLRX","glutaredoxin",0.569191617928541,7.59581584023576,5.71139331525931,3.19350907997202e-07,0.000117233694263252,6.52283792597306,1
"227766_at","LIG4","DNA ligase 4",0.774746453792488,2.47899226701431,5.71090847837977,3.19952324986265e-07,0.000117233694263252,6.5210789620405,1
"219356_s_at","CHMP5","charged multivesicular body protein 5",0.733013605665678,6.02346160414547,5.70760052367515,3.24085649159255e-07,0.000117233694263252,6.50907900577505,1
"226110_at","PTAR1","protein prenyltransferase alpha subunit repeat containing 1",0.722245591421004,7.45721372766252,5.69483871534356,3.40531803836707e-07,0.000121446352483877,6.46280286614763,1
"203138_at","HAT1","histone acetyltransferase 1",0.827995555558172,6.68229135673024,5.69315263866485,3.42765402987592e-07,0.000121446352483877,6.45669113874155,1
"219938_s_at","PSTPIP2","proline-serine-threonine phosphatase interacting protein 2",0.791551901708877,6.42203637427285,5.68347542334047,3.55867791371384e-07,0.000123674356826221,6.42162307098837,1
"201699_at","PSMC6","proteasome 26S subunit, ATPase 6",0.961261472001344,6.6757614158612,5.68117172596555,3.59059043035055e-07,0.000123915006234962,6.41327753250867,1
"221724_s_at","CLEC4A","C-type lectin domain family 4 member A",0.600228807583536,6.40672840348033,5.66225635338934,3.86353314087773e-07,0.00012995898470774,6.34479065668326,1
"209066_x_at","UQCRB","ubiquinol-cytochrome c reductase binding protein",0.769181213502983,6.64211650815442,5.64453017121234,4.13786550515887e-07,0.000137446961251674,6.28067040232754,1
"202651_at","LPGAT1","lysophosphatidylglycerol acyltransferase 1",0.649939924719644,7.62601987102967,5.63504027028471,4.29254638781181e-07,0.000141561573450294,6.24636742685052,1
"1552553_a_at","NLRC4","NLR family CARD domain containing 4",0.626335009018193,6.67808679330567,5.61436156581023,4.64964211964985e-07,0.000148360278452637,6.17168029121956,1
"221492_s_at","ATG3","autophagy related 3",0.53480642433386,8.77447956156996,5.61368441886796,4.66181844724828e-07,0.000148360278452637,6.16923597502341,1
"202917_s_at","S100A8","S100 calcium binding protein A8",0.866160956424775,10.9459905178512,5.60768979273435,4.77099430893646e-07,0.000150700008369266,6.14760089194866,1
"219691_at","SAMD9","sterile alpha motif domain containing 9",0.613991997209052,5.55233774004428,5.5811975844647,5.28447799952001e-07,0.000160121634007714,6.05207266269374,1
"205841_at","JAK2","Janus kinase 2",0.760256596894889,4.28616729666754,5.58031266157929,5.30253967022741e-07,0.000160121634007714,6.04888411002288,1
"231718_at","SLU7","SLU7 homolog, splicing factor",0.574432766564875,6.3051030691777,5.57437894568884,5.42523278855224e-07,0.000161985869108531,6.02750777633314,1
"228915_at","DACH1","dachshund family transcription factor 1",0.62605865274356,2.58770225680048,5.56632512213726,5.59625518914936e-07,0.000164322748363382,5.99850494607129,1
"223416_at","SF3B6","splicing factor 3b subunit 6",0.671120600839711,7.00769563036583,5.52468295140755,6.56901743367719e-07,0.000180631176828738,5.84875524176456,1
"220792_at","PRDM5","PR/SET domain 5",0.661981078545576,3.21503801420253,5.52360547906405,6.59628359277152e-07,0.000180631176828738,5.84488523701111,1
"202381_at","ADAM9","ADAM metallopeptidase domain 9",0.753498895185788,3.47644367411953,5.51967998125198,6.69656816277071e-07,0.000181582912319783,5.83078788068489,1
"218614_at","RESF1","retroelement silencing factor 1",0.541805295126466,9.21830713683639,5.50587884711561,7.06122485795515e-07,0.000185783622537496,5.78125021684207,1
"201237_at","CAPZA2","capping actin protein of muscle Z-line subunit alpha 2",0.723919057860114,7.90371879059613,5.47323146193833,8.00358851417623e-07,0.000198044115264201,5.66422487372866,1
"216231_s_at","B2M","beta-2-microglobulin",0.518206305666185,10.4401945967751,5.47175856409009,8.04890753891421e-07,0.000198044115264201,5.65895055639655,1
"226441_at","MAP3K2","mitogen-activated protein kinase kinase kinase 2",0.707978740098316,8.30360656977265,5.46347351999639,8.30857879762154e-07,0.000199808161700087,5.6292911821055,1
"218718_at","PDGFC","platelet derived growth factor C",0.593346585445651,4.44430939762574,5.46214294652922,8.35104427069931e-07,0.000199924752186872,5.62452927343098,1
"205849_s_at","UQCRB","ubiquinol-cytochrome c reductase binding protein",0.68580742085898,6.67963740778438,5.44134217313366,9.04339199891255e-07,0.000209837670094046,5.55013627605351,1
"200977_s_at","TAX1BP1","Tax1 binding protein 1",0.646920234414218,8.0326613025199,5.4300156910214,9.44386215921712e-07,0.000213579975394005,5.50966715209016,1
"209389_x_at","DBI","diazepam binding inhibitor, acyl-CoA binding protein",0.890806469211483,6.7218549771388,5.4270860125663,9.55025917411051e-07,0.000215071027256971,5.49920408260041,1
"221763_at","JMJD1C","jumonji domain containing 1C",0.742291700720224,6.41766302781593,5.42461139034099,9.64104920918087e-07,0.000215291110218628,5.49036767162183,1
"227413_at","UBLCP1","ubiquitin like domain containing CTD phosphatase 1",0.562722946311766,6.21344804872446,5.41540646818995,9.98628803672254e-07,0.000221142187619872,5.45751046383279,1
"224365_s_at","TIGD7","tigger transposable element derived 7",0.661801918287488,6.28623539595084,5.40913990131602,1.02282588819924e-06,0.000223704228313271,5.43515250890958,1
"212795_at","WASHC4","WASH complex subunit 4",0.703614389440324,6.5990466896475,5.40692889017458,1.0315003351642e-06,0.000224545674197565,5.42726610871271,1
"1552773_at","CLEC4D","C-type lectin domain family 4 member D",0.893711982328804,6.59260572796282,5.40034124259192,1.05777742407145e-06,0.000226645636678684,5.40377524557615,1
"205087_at","RWDD3","RWD domain containing 3",0.65433427133055,5.38173891095764,5.39701620800693,1.07128970211442e-06,0.000227028400167625,5.39192219773432,1
"244008_at","PARP8","poly(ADP-ribose) polymerase family member 8",0.78678796236388,5.65587617574795,5.39164245604263,1.09348774700193e-06,0.000229705902331667,5.37277113727209,1
"203371_s_at","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3",0.666342486190283,6.07055332249043,5.38572125099873,1.11847191474438e-06,0.000230400879274881,5.35167656538502,1
"223300_s_at","CCDC82","coiled-coil domain containing 82",0.501369303403217,5.87884437217785,5.37732918374464,1.15484719509912e-06,0.000232491720331132,5.32179297485117,1
"213095_x_at","AIF1","allograft inflammatory factor 1",0.532255502371097,9.22689467956895,5.36960220165845,1.18936825972765e-06,0.000236010780575672,5.29429181707639,1
"205992_s_at","IL15","interleukin 15",0.526719725560366,4.42164040426485,5.36943814036554,1.19011212663518e-06,0.000236010780575672,5.29370805249143,1
"208374_s_at","CAPZA1","capping actin protein of muscle Z-line subunit alpha 1",0.632955591597647,8.03670941538177,5.35691750030511,1.24825369938753e-06,0.000243322106838533,5.24917511022186,1
"227577_at","EXOC8","exocyst complex component 8",0.644494016055731,5.55839038445664,5.35459996758413,1.25931811592235e-06,0.000243904954521757,5.24093613425485,1
"238793_at","TIGD7","tigger transposable element derived 7",0.693951118370813,5.03854891562364,5.35212873414416,1.27122269182694e-06,0.000243904954521757,5.2321521023133,1
"238066_at","RBP7","retinol binding protein 7",0.603291588811919,7.75414859870527,5.34241032663,1.31912261451932e-06,0.000248607835439214,5.1976215474834,1
"214370_at","S100A8","S100 calcium binding protein A8",0.893396609835438,10.2825162673767,5.33285293932207,1.36795997678067e-06,0.000252597496423506,5.16368444242349,1
"211070_x_at","DBI","diazepam binding inhibitor, acyl-CoA binding protein",0.880660256011632,7.49060759860896,5.32974624808984,1.38421481744619e-06,0.00025455662596129,5.15265754018098,1
"226115_at","AHCTF1","AT-hook containing transcription factor 1",0.539924973446309,7.90966681365231,5.32530545037466,1.40778047940583e-06,0.000255054878687975,5.13689926673847,1
"227270_at","FAM200B","family with sequence similarity 200 member B",0.747481179567623,5.52725688558694,5.32325271010892,1.41880660103773e-06,0.000255054878687975,5.12961662911681,1
"202006_at","PTPN12","protein tyrosine phosphatase non-receptor type 12",0.615238722066396,7.31673640295152,5.32015843229547,1.43558802789242e-06,0.000256030862142277,5.11864072828295,1
"203983_at","TSNAX","translin associated factor X",0.619972017929587,8.24700207813134,5.31519355819179,1.46292334905834e-06,0.000259166624108012,5.10103421943441,1
"235764_at","PRDM5","PR/SET domain 5",0.975430710985545,3.4010908193629,5.29106817286985,1.60321389426182e-06,0.000273096182174144,5.0155633642415,1
"226588_at","CWC22","CWC22 spliceosome associated protein homolog",0.531319139442783,5.61071298739167,5.28652593613067,1.63106984738309e-06,0.000276071557894488,4.99948672661042,1
"201432_at","CAT","catalase",0.51015000095285,8.9991982632512,5.28368725984105,1.64871960547507e-06,0.000278173018641852,4.98944212143925,1
"218871_x_at","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",0.605211285214187,7.14973957818737,5.26168036946505,1.79207334951997e-06,0.00029305637632904,4.91163699132767,1
"214683_s_at","CLK1","CDC like kinase 1",0.529422780327992,7.89246546227817,5.25384029780409,1.84604928374339e-06,0.000298212709067204,4.88394686960581,1
"201603_at","PPP1R12A","protein phosphatase 1 regulatory subunit 12A",0.661835630810269,8.13449184909685,5.25190624642264,1.85960839916001e-06,0.000298386499638088,4.87711835594815,1
"203396_at","PSMA4","proteasome 20S subunit alpha 4",0.723189472097169,6.17098124601861,5.25128731613821,1.86396819914285e-06,0.000298386499638088,4.87493330527006,1
"229967_at","CMTM2","CKLF like MARVEL transmembrane domain containing 2",0.753845532932267,8.52778138810298,5.24719406991757,1.89305545203271e-06,0.000298649468940423,4.86048500755277,1
"228365_at","CPNE8","copine 8",0.549658480952659,3.153639924286,5.24062666380641,1.94065942587295e-06,0.000304248455772477,4.83731203605334,1
"209492_x_at","ATP5ME","ATP synthase membrane subunit e",0.562815072093173,7.83712569220975,5.23610093239924,1.97414718843773e-06,0.000306782666644529,4.82134925429819,1
"218940_at","VCPKMT","valosin containing protein lysine methyltransferase",0.682750588946618,5.49052898132778,5.22456722310856,2.06207964595761e-06,0.000307846480178958,4.78069141402725,1
"209901_x_at","AIF1","allograft inflammatory factor 1",0.569379305978545,9.2920481682467,5.21587421877498,2.13088811523029e-06,0.000314584196278179,4.75006927237052,1
"201568_at","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII",0.746118247081061,5.908477746739,5.2100236534053,2.17846284301138e-06,0.000318073529443752,4.72947058323226,1
"201604_s_at","PPP1R12A","protein phosphatase 1 regulatory subunit 12A",0.578572218095196,7.60166299968057,5.2088711700973,2.18795674081943e-06,0.000318584484669398,4.72541392708407,1
"207335_x_at","ATP5ME","ATP synthase membrane subunit e",0.534681910787205,6.79073671273352,5.19236276946136,2.32849551719393e-06,0.000331855688167954,4.6673422556983,1
"203397_s_at","GALNT3","polypeptide N-acetylgalactosaminyltransferase 3",0.70832435483189,5.52696500290095,5.18809593834101,2.36623920543343e-06,0.000332354089291302,4.65234400556101,1
"220330_s_at","SAMSN1","SAM domain, SH3 domain and nuclear localization signals 1",0.905586791158752,4.85317973645245,5.18441026037618,2.3993254745216e-06,0.000334690160090288,4.63939227577337,1
"200880_at","DNAJA1","DnaJ heat shock protein family (Hsp40) member A1",0.581850364481828,6.96683941206498,5.1804356666709,2.43551472146384e-06,0.00033620857377049,4.62542914991736,1
"213019_at","RANBP6","RAN binding protein 6",0.645975167604726,6.25864079753487,5.16982186319366,2.5348033594875e-06,0.000347880543667766,4.58816161981171,1
"202146_at","IFRD1","interferon related developmental regulator 1",0.813073119030379,6.42198789212111,5.16930862109239,2.53970404619439e-06,0.000347880543667766,4.5863602388922,1
"214429_at","MTMR6","myotubularin related protein 6",0.604809978024685,5.81797960300294,5.15856558999334,2.64444643406185e-06,0.000355808594002747,4.54866982040246,1
"218196_at","OSTM1","osteoclastogenesis associated transmembrane protein 1",0.625048263951497,7.14823590566612,5.14712675505779,2.76063682517364e-06,0.000369570693570537,4.50857104499537,1
"214696_at","MIR22HG","MIR22 host gene",0.520848628801737,5.59597386997171,5.14281292103457,2.8057442817906e-06,0.000373726544722619,4.49345774444878,1
"207117_at","ZNF117","zinc finger protein 117",0.846851651834688,5.34289326125608,5.13841728244813,2.85245139988223e-06,0.00037805295398888,4.47806283483946,1
"218303_x_at","KRCC1","lysine rich coiled-coil 1",0.794601751557688,6.17001631480721,5.13751429112668,2.86214049146298e-06,0.000378393484327819,4.47490089973683,1
"1558103_a_at","HDGFL3","HDGF like 3",0.816196576795602,4.93848096950004,5.13295349750627,2.91157370668213e-06,0.000383023286606522,4.4589339797973,1
"219283_at","C1GALT1C1","C1GALT1 specific chaperone 1",0.588509580961675,5.59359013756521,5.13219588935028,2.91986600747609e-06,0.000383165725183536,4.45628219082958,1
"210907_s_at","PDCD10","programmed cell death 10",0.623993400794628,6.52549220751812,5.12523254926111,2.99717637245129e-06,0.000390418952614384,4.43191608323898,1
"229804_x_at","ZNG1B","Zn regulated GTPase metalloprotein activator 1B",0.679662570096258,2.59534228166734,5.11211339442744,3.14832921186277e-06,0.000400507455141069,4.38604427950662,1
"226485_at","VSIG10","V-set and immunoglobulin domain containing 10",0.875975680886333,5.69464950541351,5.11057974477337,3.16648044014199e-06,0.000400741566421957,4.38068476770341,1
"210744_s_at","IL5RA","interleukin 5 receptor subunit alpha",0.764692953960791,5.06360736023501,5.10173490516922,3.27318376326305e-06,0.00040654740575764,4.34978767799583,1
"212565_at","STK38L","serine/threonine kinase 38 like",0.565362791172758,5.11961444078162,5.08550164177486,3.47827870815684e-06,0.000427390950635441,4.29313547740786,1
"208783_s_at","CD46","CD46 molecule",0.54095092288566,9.77806452155023,5.08521235463262,3.48204567755746e-06,0.000427390950635441,4.2921265404357,1
"1553099_at","TIGD1","tigger transposable element derived 1",0.692227529224373,4.93145132299632,5.08368821576024,3.50195853998629e-06,0.000428844678628229,4.28681122509053,1
"1559399_s_at","ZCCHC10","zinc finger CCHC-type containing 10",0.677386322282174,4.71860658969236,5.08070873539027,3.54120866528451e-06,0.000432214826910403,4.27642232847533,1
"210942_s_at","ST3GAL6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6",0.75652903670106,5.96984150770054,5.0647050836493,3.75953310301404e-06,0.000448362423183136,4.22066166103452,1
"201780_s_at","RNF13","ring finger protein 13",0.569480245948277,8.54242727130773,5.05450793444358,3.90547513173085e-06,0.000456185245771647,4.18516862490238,1
"222691_at","SLC35B3","solute carrier family 35 member B3",0.574587460471355,6.23126855099174,5.05328458988576,3.92335272571619e-06,0.000457268480950961,4.18091246148462,1
"209525_at","HDGFL3","HDGF like 3",0.734087407818246,5.16585231093527,5.04594819911116,4.03226078409213e-06,0.000465463327217738,4.15539688820006,1
"225251_at","RAB24","RAB24, member RAS oncogene family",0.541704161503903,7.95465497142462,5.04365950764867,4.06683896854222e-06,0.000465819591942054,4.14743997061596,1
"221014_s_at","RAB33B","RAB33B, member RAS oncogene family",0.73797955788655,5.21988633729616,5.04031571865892,4.11788121636973e-06,0.000468503565949907,4.13581747201377,1
"203080_s_at","BAZ2B","bromodomain adjacent to zinc finger domain 2B",0.687984023992139,6.91702934337924,5.03634881010741,4.17925040759979e-06,0.000472584300878098,4.12203310875405,1
"215071_s_at","H2AC6","H2A clustered histone 6",0.567808496883835,9.51076071157308,5.02648085062274,4.33582728777781e-06,0.000482084127329555,4.0877624576655,1
"212368_at","ZNF292","zinc finger protein 292",0.604808973120178,6.73789635285322,5.01116836334505,4.59024716873797e-06,0.00049584932170105,4.03463706967155,1
"221230_s_at","ARID4B","AT-rich interaction domain 4B",0.594548131488079,8.6316332826791,5.00937674747501,4.62095507136401e-06,0.000497145544894298,4.0284254964291,1
"202428_x_at","DBI","diazepam binding inhibitor, acyl-CoA binding protein",0.791523910238837,7.44987359663379,5.00351399381073,4.72285568476939e-06,0.000504027331482809,4.00810550019969,1
"212982_at","ZDHHC17","zinc finger DHHC-type palmitoyltransferase 17",0.577706822438288,7.27445089674061,4.99867974539023,4.80853394128409e-06,0.00050806988743027,3.99135753105569,1
"212636_at","QKI","QKI, KH domain containing RNA binding",0.632475750271366,7.91813601778361,4.99634095633135,4.85052969516731e-06,0.000510477429126846,3.98325730197632,1
"244313_at","CR1","complement C3b/C4b receptor 1 (Knops blood group)",0.822154439676932,5.35116404148867,4.99402725841794,4.89242854202791e-06,0.000513869367041812,3.97524549630814,1
"202200_s_at","SRPK1","SRSF protein kinase 1",0.591669671786633,7.7808340115156,4.99090485124586,4.9495351229467e-06,0.000517291977606181,3.96443571914651,1
"200818_at","ATP5PO","ATP synthase peripheral stalk subunit OSCP",0.545579227144314,7.47081717299954,4.98874688024732,4.98938408798643e-06,0.000517911711180107,3.95696643675215,1
"234988_at","VCPIP1","valosin containing protein interacting protein 1",0.501932088561114,2.22473879069785,4.98330996641896,5.09118097062443e-06,0.000524381773344528,3.93815377156387,1
"219317_at","POLI","DNA polymerase iota",0.756324409829468,4.02863475401248,4.98024510581839,5.14945934579777e-06,0.000528336517087093,3.92755253088466,1
"201238_s_at","CAPZA2","capping actin protein of muscle Z-line subunit alpha 2",0.655377076819062,7.49525562113111,4.97329239048166,5.28409945270903e-06,0.000537950746488686,3.90351328404773,1
"202441_at","ERLIN1","ER lipid raft associated 1",0.543128598082235,6.30620543370104,4.96322782386722,5.48513070031129e-06,0.000546938539079632,3.86873924103003,1
"225950_at","SAMD8","sterile alpha motif domain containing 8",0.550593461157373,6.53929417557211,4.95667836959881,5.6199549311905e-06,0.000555224955077182,3.846125901415,1
"204645_at","CCNT2","cyclin T2",0.535931294973223,5.06098896511367,4.95665372928506,5.620468245273e-06,0.000555224955077182,3.84604084902942,1
"212579_at","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1",0.748590154693573,6.68486903639103,4.9476523235515,5.81109386175432e-06,0.000570872838208238,3.81498193521983,1
"221156_x_at","CCPG1","cell cycle progression 1",0.504496642201457,3.45243584847709,4.94274932996815,5.91757533825571e-06,0.000578127530335066,3.79807428177901,1
"206025_s_at","TNFAIP6","TNF alpha induced protein 6",1.18422920399618,6.78185475601597,4.9406043193511,5.96475861309036e-06,0.000580602611739768,3.79067955167366,1
"217292_at","MTMR7","myotubularin related protein 7",0.517034266672673,4.50261088354993,4.93637791043179,6.05880655501117e-06,0.00058589295415789,3.77611331394357,1
"224793_s_at","TGFBR1","transforming growth factor beta receptor 1",0.645438591997888,6.78196181477858,4.93488457431139,6.09238290818247e-06,0.000587105502835058,3.7709678061462,1
"206584_at","LY96","lymphocyte antigen 96",0.833726241384181,6.74725305686907,4.92109698612405,6.41111740152936e-06,0.000612826720394031,3.72349151343684,1
